"'h00,""NOP"""
"'h01,""Illegal"""
"'hA6,""CLR F1"""
"'hA7,""CPL C"""
"'hA8,""MOV R0, A"""
"'hA9,""MOV R1, A"""
"'hAA,""MOV R2, A"""
"'hAB,""MOV R3, A"""
"'hAC,""MOV R4, A"""
"'hAD,""MOV R5, A"""
"'hAE,""MOV R6, A"""
"'hAF,""MOV R7, A"""
"'hB0,""MOV @R0, #data"""
"'hB1,""MOV @R1, #data"""
"'hB2,""JB5"""
"'hB3,""JMPP @A"""
"'hB4,""CALL Page+0x5"""
"'hB5,""CPL F1"""
"'hB6,""JF0"""
"'hB7,""Illegal"""
"'hB8,""MOV R0, #data"""
"'hB9,""MOV R1, #data"""
"'hBA,""MOV R2, #data"""
"'hBB,""MOV R3, #data"""
"'hBC,""MOV R4, #data"""
"'hBD,""MOV R5, #data"""
"'hBE,""MOV R6, #data"""
"'hBF,""MOV R7, #data"""
"'hC0,""Illegal"""
"'hC1,""Illegal"""
"'hC2,""Illegal"""
"'hC3,""Illegal"""
"'hC4,""JMP Page+0x6"""
"'hC5,""SEL RB0"""
"'hC6,""JZ"""
"'hC7,""MOV A,PSW"
"'hC8,""DEC R0"""
"'hC9,""DEC R1"""
"'hCA,""DEC R2"""
"'hCB,""DEC R3"""
"'hCC,""DEC R4"""
"'hCD,""DEC R5"""
"'hCE,""DEC R6"""
"'hCF,""DEC R7"""
"'hD0,""XRL A, @R0"""
"'hD1,""XRL A, @R1"""
"'hD2,""JB6"""
"'hD3,""XRL A, #data"""
"'hD4,""CALL Page+0x6"""
"'hD5,""SEL RB1"""
"'hD6,""Unknown"""
"'hD7,""MOV PSW, A"""
"'hD8,""XRL A,R0"""
"'hD9,""XRL A,R1"""
"'hDa,""XRL A,R2"""
"'hDb,""XRL A,R3"""
"'hDc,""XRL A,R4"""
"'hDd,""XRL A,R5"""
"'hDe,""XRL A,R6"""
"'hDf,""XRL A,R7"""
"'hE0,""Illegal"""
"'hE1,""Illegal"""
"'hE2,""Illegal"""
"'hE3,""MOVP3 A, @A"""
"'hE4,""JMP Page+0x7"""
"'hE5,""SEL MB0"""
"'hE6,""JNC"""
"'hE7,""RL A"""
"'hE8,""DJNZ R0, address"""
"'hE9,""DJNZ R1, address"""
"'hEA,""DJNZ R2, address"""
"'hEB,""DJNZ R3, address"""
"'hEC,""DJNZ R4, address"""
"'hED,""DJNZ R5, address"""
"'hEE,""DJNZ R6, address"""
"'hEF,""DJNZ R7, address"""
"'hF0,""MOV A, @R0"""
"'hF1,""MOV A, @R1"""
"'hF2,""JB7"""
"'hF3,""Unknown"""
"'hF4,""CALL Page+0x7"""
"'hF5,""SEL MB1"""
"'hF6,""JC"""
"'hF7,""RLC A"""
"'hF8,""MOV A, R0"""
"'hF9,""MOV A, R1"""
"'hFA,""MOV A, R2"""
"'hFB,""MOV A, R3"""
"'hFC,""MOV A, R4"""
"'hFD,""MOV A, R5"""
"'hFE,""MOV A, R6"""
"'hFF,""MOV A, R7"""
